Class	Field	Type	Description
ExcelScript.SortBy	descending	EnumField	Descending sort.
ExcelScript.SortDataOption		Class	
ExcelScript.SortDataOption	normal	EnumField	
ExcelScript.SortDataOption	textAsNumber	EnumField	
ExcelScript.SortField		Class	Represents a condition in a sorting operation.
ExcelScript.SortField	ascending	Property	Specifies if the sorting is done in an ascending fashion.
ExcelScript.SortField	color	Property	Specifies the color that is the target of the condition if the sorting is on font or cell color.
ExcelScript.SortField	dataOption	Property	Represents additional sorting options for this field.
ExcelScript.SortField	icon	Property	Specifies the icon that is the target of the condition  if the sorting is on the cell's icon.
ExcelScript.SortField	key	Property	Specifies the column (or row  depending on the sort orientation) that the condition is on.
ExcelScript.SortField	sortOn	Property	Specifies the type of sorting of this condition.
ExcelScript.SortField	subField	Property	Specifies the subfield that is the target property name of a rich value to sort on.
ExcelScript.SortMethod		Class	
ExcelScript.SortMethod	pinYin	EnumField	
ExcelScript.SortMethod	strokeCount	EnumField	
ExcelScript.SortOn		Class	
ExcelScript.SortOn	cellColor	EnumField	
ExcelScript.SortOn	fontColor	EnumField	
ExcelScript.SortOn	icon	EnumField	
ExcelScript.SortOn	value	EnumField	
ExcelScript.SortOrientation		Class	
ExcelScript.SortOrientation	columns	EnumField	
ExcelScript.SortOrientation	rows	EnumField	
ExcelScript.SpecialCellType		Class	
ExcelScript.SpecialCellType	blanks	EnumField	Cells with no content.
ExcelScript.SpecialCellType	conditionalFormats	EnumField	All cells with conditional formats.
ExcelScript.SpecialCellType	constants	EnumField	Cells containing constants.
ExcelScript.SpecialCellType	dataValidations	EnumField	Cells with validation criteria.
ExcelScript.SpecialCellType	formulas	EnumField	Cells containing formulas.
ExcelScript.SpecialCellType	sameConditionalFormat	EnumField	Cells with the same conditional format as the first cell in the range.
ExcelScript.SpecialCellType	sameDataValidation	EnumField	Cells with the same data validation criteria as the first cell in the range.
ExcelScript.SpecialCellType	visible	EnumField	Cells that are visible.
ExcelScript.SpecialCellValueType		Class	
ExcelScript.SpecialCellValueType	all	EnumField	Cells that have errors  boolean  numeric  or string values.
ExcelScript.SpecialCellValueType	errors	EnumField	Cells that have errors.
ExcelScript.SpecialCellValueType	errorsLogical	EnumField	Cells that have errors or boolean values.
ExcelScript.SpecialCellValueType	errorsLogicalNumber	EnumField	Cells that have errors  boolean  or numeric values.
ExcelScript.SpecialCellValueType	errorsLogicalText	EnumField	Cells that have errors  boolean  or string values.
ExcelScript.SpecialCellValueType	errorsNumbers	EnumField	Cells that have errors or numeric values.
ExcelScript.SpecialCellValueType	errorsNumberText	EnumField	Cells that have errors  numeric  or string values.
ExcelScript.SpecialCellValueType	errorsText	EnumField	Cells that have errors or string values.
ExcelScript.SpecialCellValueType	logical	EnumField	Cells that have a boolean value.
ExcelScript.SpecialCellValueType	logicalNumbers	EnumField	Cells that have a boolean or numeric value.
ExcelScript.SpecialCellValueType	logicalNumbersText	EnumField	Cells that have a boolean  numeric  or string value.
ExcelScript.SpecialCellValueType	logicalText	EnumField	Cells that have a boolean or string value.
ExcelScript.SpecialCellValueType	numbers	EnumField	Cells that have a numeric value.
ExcelScript.SpecialCellValueType	numbersText	EnumField	Cells that have a numeric or string value.
ExcelScript.SpecialCellValueType	text	EnumField	Cells that have a string value.
ExcelScript.SubtotalLocationType		Class	
ExcelScript.SubtotalLocationType	atBottom	EnumField	Subtotals are at the bottom.
ExcelScript.SubtotalLocationType	atTop	EnumField	Subtotals are at the top.
ExcelScript.SubtotalLocationType	off	EnumField	Subtotals are off.
ExcelScript.Subtotals		Class	Subtotals for the Pivot Field.
ExcelScript.Subtotals	automatic	Property	If `Automatic` is set to `true`<!-- -->  then all other values will be ignored when setting the `Subtotals`<!-- -->.
ExcelScript.Subtotals	average	Property	Average
ExcelScript.Subtotals	count	Property	Count
ExcelScript.Subtotals	countNumbers	Property	CountNumbers
ExcelScript.Subtotals	max	Property	Max
ExcelScript.Subtotals	min	Property	Min
ExcelScript.Subtotals	product	Property	Product
ExcelScript.Subtotals	standardDeviation	Property	StandardDeviation
ExcelScript.Subtotals	standardDeviationP	Property	StandardDeviationP
ExcelScript.Subtotals	sum	Property	Sum
ExcelScript.Subtotals	variance	Property	Variance
ExcelScript.Subtotals	varianceP	Property	VarianceP
ExcelScript.Table		Class	Represents an Excel table.
ExcelScript.Table	addColumn(index	Method	Adds a new column to the table.
ExcelScript.Table	addRow(index	Method	Adds one row to the table.
ExcelScript.Table	addRows(index	Method	Adds one or more rows to the table.
ExcelScript.Table	clearFilters()	Method	Clears all the filters currently applied on the table.
ExcelScript.Table	convertToRange()	Method	Converts the table into a normal range of cells.
ExcelScript.Table	delete()	Method	Deletes the table.
ExcelScript.Table	deleteRowsAt(index	Method	Delete a specified number of rows at a given index.
ExcelScript.Table	getAutoFilter()	Method	Represents the `AutoFilter` object of the table.
ExcelScript.Table	getColumn(key)	Method	Gets a column object by name or ID.
ExcelScript.Table	getColumnById(key)	Method	Gets a column object by ID.
ExcelScript.Table	getColumnByName(key)	Method	Gets a column object by Name.
ExcelScript.Table	getColumns()	Method	Represents a collection of all the columns in the table.
ExcelScript.Table	getHeaderRowRange()	Method	Gets the range object associated with the header row of the table.
ExcelScript.Table	getHighlightFirstColumn()	Method	Specifies if the first column contains special formatting.
ExcelScript.Table	getHighlightLastColumn()	Method	Specifies if the last column contains special formatting.
ExcelScript.Table	getId()	Method	Returns a value that uniquely identifies the table in a given workbook.
ExcelScript.Table	getLegacyId()	Method	Returns a numeric ID.
ExcelScript.Table	getName()	Method	Name of the table.
ExcelScript.Table	getPredefinedTableStyle()	Method	Constant value that represents the table style.
ExcelScript.Table	getRange()	Method	Gets the range object associated with the entire table.
ExcelScript.Table	getRangeBetweenHeaderAndTotal()	Method	Gets the range object associated with the data body of the table.
ExcelScript.Table	getRowCount()	Method	Gets the number of rows in the table.
ExcelScript.Table	getShowBandedColumns()	Method	Specifies if the columns show banded formatting in which odd columns are highlighted differently from even ones  to make reading the table easier.
ExcelScript.Table	getShowBandedRows()	Method	Specifies if the rows show banded formatting in which odd rows are highlighted differently from even ones  to make reading the table easier.
ExcelScript.Table	getShowFilterButton()	Method	Specifies if the filter buttons are visible at the top of each column header.
ExcelScript.Table	getShowHeaders()	Method	Specifies if the header row is visible.
ExcelScript.Table	getShowTotals()	Method	Specifies if the total row is visible.
ExcelScript.Table	getSort()	Method	Represents the sorting for the table.
ExcelScript.Table	getTotalRowRange()	Method	Gets the range object associated with the totals row of the table.
ExcelScript.Table	getWorksheet()	Method	The worksheet containing the current table.
ExcelScript.Table	reapplyFilters()	Method	Reapplies all the filters currently on the table.
ExcelScript.Table	resize(newRange)	Method	Resize the table to the new range.
ExcelScript.Table	setHighlightFirstColumn(highlightFirstColumn)	Method	Specifies if the first column contains special formatting.
ExcelScript.Table	setHighlightLastColumn(highlightLastColumn)	Method	Specifies if the last column contains special formatting.
ExcelScript.Table	setName(name)	Method	Name of the table.
ExcelScript.Table	setPredefinedTableStyle(predefinedTableStyle)	Method	Constant value that represents the table style.
ExcelScript.Table	setShowBandedColumns(showBandedColumns)	Method	Specifies if the columns show banded formatting in which odd columns are highlighted differently from even ones  to make reading the table easier.
ExcelScript.Table	setShowBandedRows(showBandedRows)	Method	Specifies if the rows show banded formatting in which odd rows are highlighted differently from even ones  to make reading the table easier.
ExcelScript.Table	setShowFilterButton(showFilterButton)	Method	Specifies if the filter buttons are visible at the top of each column header.
ExcelScript.Table	setShowHeaders(showHeaders)	Method	Specifies if the header row is visible.
ExcelScript.Table	setShowTotals(showTotals)	Method	Specifies if the total row is visible.
ExcelScript.TableColumn		Class	Represents a column in a table.
ExcelScript.TableColumn	delete()	Method	Deletes the column from the table.
ExcelScript.TableColumn	getFilter()	Method	Retrieves the filter applied to the column.
ExcelScript.TableColumn	getHeaderRowRange()	Method	Gets the range object associated with the header row of the column.
ExcelScript.TableColumn	getId()	Method	Returns a unique key that identifies the column within the table.
ExcelScript.TableColumn	getIndex()	Method	Returns the index number of the column within the columns collection of the table.
ExcelScript.TableColumn	getName()	Method	Specifies the name of the table column.
ExcelScript.TableColumn	getRange()	Method	Gets the range object associated with the entire column.
ExcelScript.TableColumn	getRangeBetweenHeaderAndTotal()	Method	Gets the range object associated with the data body of the column.
ExcelScript.TableColumn	getTotalRowRange()	Method	Gets the range object associated with the totals row of the column.
ExcelScript.TableColumn	setName(name)	Method	Specifies the name of the table column.
ExcelScript.TableSort		Class	Manages sorting operations on `Table` objects.
ExcelScript.TableSort	apply(fields	Method	Perform a sort operation.
ExcelScript.TableSort	clear()	Method	Clears the sorting that is currently on the table.
ExcelScript.TableSort	getFields()	Method	Specifies the current conditions used to last sort the table.
ExcelScript.TableSort	getMatchCase()	Method	Specifies if the casing impacts the last sort of the table.
ExcelScript.TableSort	getMethod()	Method	Represents the Chinese character ordering method last used to sort the table.
ExcelScript.TableSort	reapply()	Method	Reapplies the current sorting parameters to the table.
ExcelScript.TableStyle		Class	Represents a table style  which defines the style elements by region of the table.
ExcelScript.TableStyle	delete()	Method	Deletes the table style.
ExcelScript.TableStyle	duplicate()	Method	Creates a duplicate of this table style with copies of all the style elements.
ExcelScript.TableStyle	getName()	Method	Gets the name of the table style.
ExcelScript.TableStyle	getReadOnly()	Method	Specifies if this `TableStyle` object is read-only.
ExcelScript.TableStyle	setName(name)	Method	Gets the name of the table style.
ExcelScript.TextConditionalFormat		Class	Represents a specific text conditional format.
ExcelScript.TextConditionalFormat	getFormat()	Method	Returns a format object  encapsulating the conditional format's font  fill  borders  and other properties.
ExcelScript.TextConditionalFormat	getRule()	Method	The rule of the conditional format.
ExcelScript.TextConditionalFormat	setRule(rule)	Method	The rule of the conditional format.
ExcelScript.TextFrame		Class	Represents the text frame of a shape object.
ExcelScript.TextFrame	deleteText()	Method	Deletes all the text in the text frame.
ExcelScript.TextFrame	getAutoSizeSetting()	Method	The automatic sizing settings for the text frame.
ExcelScript.TextFrame	getBottomMargin()	Method	Represents the bottom margin  in points  of the text frame.
ExcelScript.TextFrame	getHasText()	Method	Specifies if the text frame contains text.
ExcelScript.TextFrame	getHorizontalAlignment()	Method	Represents the horizontal alignment of the text frame.
ExcelScript.TextFrame	getHorizontalOverflow()	Method	Represents the horizontal overflow behavior of the text frame.
ExcelScript.TextFrame	getLeftMargin()	Method	Represents the left margin  in points  of the text frame.
ExcelScript.TextFrame	getOrientation()	Method	Represents the angle to which the text is oriented for the text frame.
ExcelScript.TextFrame	getReadingOrder()	Method	Represents the reading order of the text frame  either left-to-right or right-to-left.
ExcelScript.TextFrame	getRightMargin()	Method	Represents the right margin  in points  of the text frame.
ExcelScript.TextFrame	getTextRange()	Method	Represents the text that is attached to a shape in the text frame  and properties and methods for manipulating the text.
ExcelScript.TextFrame	getTopMargin()	Method	Represents the top margin  in points  of the text frame.
ExcelScript.TextFrame	getVerticalAlignment()	Method	Represents the vertical alignment of the text frame.
ExcelScript.TextFrame	getVerticalOverflow()	Method	Represents the vertical overflow behavior of the text frame.
ExcelScript.TextFrame	setAutoSizeSetting(autoSizeSetting)	Method	The automatic sizing settings for the text frame.
ExcelScript.TextFrame	setBottomMargin(bottomMargin)	Method	Represents the bottom margin  in points  of the text frame.
ExcelScript.TextFrame	setHorizontalAlignment(horizontalAlignment)	Method	Represents the horizontal alignment of the text frame.
ExcelScript.TextFrame	setHorizontalOverflow(horizontalOverflow)	Method	Represents the horizontal overflow behavior of the text frame.
ExcelScript.TextFrame	setLeftMargin(leftMargin)	Method	Represents the left margin  in points  of the text frame.
